,track_id,speed,lon_acc,lat_acc,time,type,moving,img_x,img_y,img_angle,coord_id,Lane,trigger
84114,1419,55.9684,-0.6516,-0.0438,542.4,Motorcycle,True,373,1373,6.279815672453934,70,1.0,False
84115,1419,55.0142,-0.702,-0.0435,542.8,Motorcycle,True,419,1372,6.278251941369296,80,1.0,False
84116,1419,53.8584,-0.9114,-0.0071,543.2,Motorcycle,True,464,1372,6.277344905325437,90,1.0,False
84117,1419,52.4338,-1.0549,0.0908,543.6,Motorcycle,True,508,1371,6.277724207949157,100,1.0,False
84118,1419,50.8872,-1.0643,0.2525,544.0,Motorcycle,True,551,1371,6.281678835216938,111,2.0,True
84119,1419,49.4421,-0.9685,0.3915,544.4,Motorcycle,True,592,1370,0.0087122351721884,120,2.0,False
84120,1419,47.9745,-1.1035,0.3339,544.8,Motorcycle,True,632,1371,0.0231334755174357,130,2.0,False
84121,1419,46.1584,-1.4337,0.0835,545.2,Motorcycle,True,671,1371,0.0305691879924183,140,2.0,False
84122,1419,43.8981,-1.676,-0.108,545.6,Motorcycle,True,708,1372,0.0275801693089285,150,1.0,True
