,track_id,speed,lon_acc,lat_acc,time,type,moving,img_x,img_y,img_angle,coord_id,Lane,trigger
116095,1821,31.184,1.2808,0.4655,720.0,Car,True,471,1343,0.0861776960596101,299,3.0,False
116096,1821,32.6457,0.7178,0.0654,720.4,Car,True,498,1345,0.1048982874460739,309,3.0,False
116097,1821,33.2296,0.0943,-0.4675,720.8,Car,True,525,1348,0.0932458311548964,319,3.0,False
116098,1821,32.991,-0.395,-0.618,721.2,Car,True,552,1350,0.060330460832263,328,3.0,False
116099,1821,32.1827,-0.7535,-0.3729,721.6,Car,True,580,1351,0.035441409087606,339,3.0,False
116100,1821,30.772,-1.1182,-0.0996,722.0,Car,True,606,1351,0.0277132872859291,349,3.0,False
116101,1821,29.3462,-0.7625,0.016,722.4,Car,True,630,1352,0.0289182671054306,358,3.0,False
116102,1821,28.6842,-0.212,-0.0038,722.8,Car,True,654,1352,0.0296101856237731,368,2.0,True
116103,1821,28.5438,-0.0365,-0.049,723.2,Car,True,677,1353,0.0286188084418124,380,2.0,False
116104,1821,28.4103,-0.1542,-0.105,723.6,Car,True,700,1353,0.0248516996956693,390,2.0,False
116105,1821,28.1888,-0.1678,-0.133,724.0,Car,True,724,1354,0.0178566166169829,398,2.0,False
116106,1821,27.8667,-0.2915,-0.1192,724.4,Car,True,747,1354,0.0106402652762169,408,2.0,False
116107,1821,27.2885,-0.5006,-0.0666,724.8,Car,True,769,1354,0.0056455838269791,418,2.0,False
116108,1821,26.5416,-0.5002,0.0039,725.2,Car,True,791,1354,0.0035941127892606,430,2.0,False
116109,1821,25.9951,-0.2057,0.0836,725.6,Car,True,813,1354,0.0058915185946606,440,2.0,False
